MatchId,IdPeriod,Time,home_120_x,home_120_y,home_153_x,home_153_y,home_452_x,home_452_y,home_475_x,home_475_y,home_688_x,home_688_y,home_710_x,home_710_y,home_827_x,home_827_y,home_8_x,home_8_y,home_933_x,home_933_y,home_93_x,home_93_y,home_94_x,home_94_y,home_962_x,home_962_y,home_966_x,home_966_y,home_990_x,home_990_y,ball_x,ball_y
match_1,1,0,20,-1810,,,1880,-1290,5280,-110,0,30,1050,440,1060,2400,160,1200,750,-50,,,2220,1690,,,2700,-240,690,-3030,0,0
match_1,1,10,10,-1800,,,1880,-1290,5280,-110,-20,20,1050,440,1070,2410,140,1200,750,-50,,,2220,1690,,,2700,-240,690,-3030,-20,0
match_1,1,20,0,-1790,,,1880,-1290,5280,-120,-40,10,1040,440,1070,2410,110,1200,750,-50,,,2230,1700,,,2710,-240,690,-3030,-40,10
match_1,1,30,-10,-1790,,,1880,-1290,5280,-120,-50,-10,1040,440,1080,2420,90,1210,760,-60,,,2230,1700,,,2710,-240,700,-3030,120,0
match_1,1,40,-20,-1780,,,1880,-1290,5280,-120,-70,-20,1040,440,1080,2420,60,1210,760,-60,,,2240,1700,,,2720,-240,700,-3030,280,-10
match_1,1,50,-30,-1770,,,1880,-1290,5280,-120,-90,-30,1030,450,1090,2430,40,1210,760,-60,,,2240,1710,,,2720,-240,700,-3030,440,-30
match_1,1,60,-40,-1760,,,1880,-1290,5280,-120,-100,-40,1030,450,1090,2430,20,1210,760,-60,,,2250,1710,,,2730,-250,700,-3030,600,-40
match_1,1,70,-50,-1750,,,1880,-1290,5280,-130,-120,-60,1030,450,1100,2440,-10,1210,760,-60,,,2250,1710,,,2740,-250,700,-3030,760,-60
match_1,1,80,-60,-1750,,,1880,-1290,5280,-130,-140,-70,1020,450,1100,2440,-30,1210,770,-70,,,2260,1710,,,2740,-260,700,-3030,760,-80
match_1,1,90,-60,-1740,,,1890,-1290,5280,-130,-160,-80,1020,450,1100,2450,-60,1220,770,-70,,,2260,1710,,,2750,-270,700,-3030,770,-100
match_1,1,100,-70,-1730,,,1890,-1300,5280,-130,-170,-90,1020,460,1110,2450,-90,1220,770,-80,,,2270,1710,,,2760,-290,710,-3030,770,-120
match_1,1,110,-80,-1720,,,1890,-1300,5280,-140,-190,-100,1010,460,1110,2460,-110,1220,780,-100,,,2270,1710,,,2770,-300,710,-3030,780,-140
match_1,1,120,-90,-1710,,,1910,-1300,5290,-140,-210,-120,1010,460,1110,2460,-150,1220,780,-110,,,2270,1720,,,2780,-320,700,-3040,780,-160
match_1,1,130,-100,-1700,,,1920,-1310,5290,-140,-230,-130,1010,460,1110,2460,-180,1230,790,-130,,,2270,1720,,,2780,-330,700,-3040,790,-180
match_1,1,140,-110,-1700,,,1930,-1320,5290,-140,-240,-140,1000,460,1110,2470,-220,1230,790,-160,,,2270,1730,,,2790,-350,690,-3050,800,-200
match_1,1,150,-120,-1690,,,1950,-1330,5290,-150,-260,-150,990,460,1110,2470,-260,1230,800,-190,,,2270,1740,,,2800,-360,680,-3060,800,-220
match_1,1,160,-130,-1680,,,1960,-1330,5290,-150,-280,-160,980,450,1110,2480,-300,1240,810,-220,,,2270,1750,,,2810,-370,660,-3070,810,-240
match_1,1,170,-140,-1680,,,1970,-1340,5290,-150,-300,-180,970,450,1110,2480,-340,1240,810,-250,,,2260,1750,,,2810,-370,650,-3080,810,-260
match_1,1,180,-140,-1670,,,1980,-1370,5290,-150,-310,-190,950,440,1110,2480,-370,1240,820,-280,,,2260,1760,,,2820,-370,630,-3090,820,-280
match_1,1,190,-140,-1660,,,2000,-1360,5290,-160,-330,-200,940,430,1110,2490,-410,1230,830,-300,,,2260,1770,,,2820,-370,620,-3100,830,-300
match_1,1,200,-140,-1650,,,2010,-1360,5290,-160,-340,-200,920,420,1110,2490,-440,1230,830,-330,,,2250,1780,,,2830,-360,600,-3110,820,-480
match_1,1,210,-140,-1630,,,2030,-1340,5290,-160,-370,-200,910,400,1110,2490,-480,1220,840,-360,,,2250,1790,,,2830,-350,590,-3130,810,-670
match_1,1,220,-150,-1620,,,2040,-1330,5290,-160,-400,-210,890,390,1110,2500,-510,1220,850,-390,,,2250,1790,,,2830,-340,570,-3140,800,-850
match_1,1,230,-150,-1610,,,2060,-1350,5290,-170,-430,-220,870,370,1110,2500,-540,1210,850,-430,,,2240,1800,,,2830,-330,560,-3150,800,-1040
match_1,1,240,-160,-1600,,,2070,-1370,5290,-170,-470,-230,860,340,1100,2510,-570,1200,860,-470,,,2240,1800,,,2820,-330,540,-3160,790,-1230
match_1,1,250,-180,-1590,,,2090,-1400,5280,-170,-510,-250,840,320,1100,2510,-610,1190,860,-510,,,2240,1810,,,2820,-340,540,-3170,780,-1410
