MatchId,IdPeriod,Time,away_148_x,away_148_y,away_205_x,away_205_y,away_20_x,away_20_y,away_342_x,away_342_y,away_465_x,away_465_y,away_521_x,away_521_y,away_543_x,away_543_y,away_672_x,away_672_y,away_682_x,away_682_y,away_6_x,away_6_y,away_728_x,away_728_y,away_73_x,away_73_y,away_898_x,away_898_y,away_961_x,away_961_y,ball_x,ball_y
match_3,1,0,1410,580,1240,-2710,840,2940,2070,1370,,,40,1640,,,220,170,1230,-360,2080,-650,0,-140,4530,0,40,-2420,,,0,0
match_3,1,10,1420,590,1250,-2700,840,2940,2070,1360,,,30,1640,,,240,170,1230,-360,2090,-650,-10,-140,4520,0,60,-2490,,,-10,-140
match_3,1,20,1430,600,1260,-2700,840,2940,2070,1360,,,10,1640,,,250,180,1230,-360,2100,-650,-30,-140,4510,0,60,-2490,,,120,-160
match_3,1,30,1440,610,1270,-2690,850,2940,2080,1350,,,0,1630,,,270,180,1230,-360,2110,-650,-40,-130,4500,-10,60,-2480,,,260,-180
match_3,1,40,1450,620,1290,-2680,850,2940,2080,1340,,,-20,1630,,,280,180,1240,-360,2110,-640,-50,-130,4490,-10,60,-2500,,,400,-210
match_3,1,50,1460,630,1300,-2680,850,2940,2080,1330,,,-30,1630,,,300,190,1240,-360,2120,-640,-70,-120,4480,-10,50,-2500,,,540,-230
match_3,1,60,1470,640,1310,-2670,850,2940,2080,1320,,,-50,1630,,,310,190,1240,-360,2130,-640,-90,-120,4480,-10,40,-2500,,,680,-260
match_3,1,70,1480,650,1320,-2660,850,2940,2080,1320,,,-60,1630,,,330,190,1240,-360,2140,-640,-110,-120,4470,-10,30,-2510,,,820,-280
match_3,1,80,1490,660,1330,-2660,860,2950,2080,1310,,,-80,1620,,,340,200,1240,-360,2140,-640,-140,-110,4460,-10,10,-2510,,,960,-310
match_3,1,90,1500,670,1340,-2650,860,2950,2080,1300,,,-90,1620,,,360,200,1240,-360,2150,-630,-170,-110,4450,-10,0,-2520,,,1100,-330
match_3,1,100,1510,680,1350,-2640,860,2950,2090,1290,,,-110,1620,,,370,200,1240,-360,2160,-630,-210,-110,4440,-20,-20,-2520,,,1240,-360
match_3,1,110,1520,690,1370,-2640,860,2950,2090,1290,,,-120,1620,,,390,210,1230,-360,2160,-630,-250,-100,4430,-20,-30,-2530,,,1230,-350
match_3,1,120,1540,700,1380,-2630,860,2950,2090,1290,,,-140,1620,,,400,210,1230,-360,2170,-630,-290,-100,4420,-20,-40,-2530,,,1230,-350
match_3,1,130,1550,710,1390,-2620,860,2950,2100,1290,,,-150,1610,,,420,210,1230,-360,2190,-640,-340,-100,4410,-20,-60,-2540,,,1220,-350
match_3,1,140,1560,720,1400,-2620,870,2950,2100,1290,,,-170,1610,,,440,220,1230,-350,2210,-660,-380,-100,4390,-10,-70,-2540,,,1220,-350
match_3,1,150,1570,730,1410,-2610,870,2950,2100,1300,,,-180,1610,,,450,220,1230,-350,2220,-660,-430,-90,4380,-10,-90,-2550,,,1220,-350
match_3,1,160,1580,740,1430,-2610,870,2950,2110,1310,,,-200,1620,,,470,230,1220,-350,2250,-710,-470,-90,4370,0,-100,-2550,,,1210,-350
match_3,1,170,1590,750,1440,-2600,870,2960,2110,1320,,,-220,1620,,,470,250,1220,-350,2290,-750,-520,-90,4350,0,-120,-2560,,,1210,-350
match_3,1,180,1600,760,1460,-2600,870,2960,2120,1330,,,-250,1620,,,480,280,1210,-350,2310,-760,-560,-90,4340,10,-130,-2560,,,1210,-350
match_3,1,190,1610,770,1470,-2600,880,2960,2120,1350,,,-270,1630,,,480,300,1210,-350,2320,-780,-610,-80,4320,10,-140,-2570,,,1250,-220
match_3,1,200,1620,780,1480,-2600,880,2970,2130,1360,,,-290,1630,,,490,320,1200,-340,2340,-790,-650,-80,4310,20,-160,-2570,,,1300,-100
match_3,1,210,1630,790,1500,-2600,880,2970,2140,1370,,,-320,1630,,,490,350,1200,-340,2350,-810,-700,-80,4290,20,-170,-2580,,,1340,10
match_3,1,220,1640,800,1510,-2590,880,2980,2140,1390,,,-340,1640,,,490,370,1190,-340,2370,-820,-740,-80,4280,30,-190,-2590,,,1390,140
match_3,1,230,1650,810,1520,-2590,880,2980,2150,1400,,,-370,1640,,,490,390,1180,-340,2380,-840,-790,-70,4260,30,-200,-2590,,,1440,260
match_3,1,240,1660,820,1530,-2590,890,2990,2150,1410,,,-390,1650,,,480,420,1170,-330,2400,-850,-830,-70,4250,40,-210,-2590,,,1480,380
match_3,1,250,1670,830,1540,-2590,890,2990,2160,1430,,,-410,1650,,,480,440,1160,-330,2410,-870,-890,-70,4230,50,-230,-2580,,,1530,510
match_3,1,260,1670,850,1550,-2590,890,2990,2170,1440,,,-440,1660,,,480,460,1160,-330,2430,-880,-940,-70,4220,60,-240,-2580,,,1570,630
match_3,1,270,1680,860,1550,-2580,890,3000,2180,1460,,,-460,1670,,,470,490,1150,-330,2440,-900,-990,-70,4200,70,-250,-2580,,,1620,750
match_3,1,280,1670,880,1560,-2580,890,3000,2190,1480,,,-480,1670,,,460,510,1140,-320,2460,-910,-1040,-70,4180,80,-260,-2570,,,1670,880
match_3,1,290,1660,890,1560,-2580,890,3010,2200,1500,,,-500,1680,,,460,540,1130,-320,2470,-930,-1100,-70,4160,90,-270,-2560,,,1660,880
match_3,1,300,1660,910,1560,-2570,900,3010,2220,1530,,,-520,1680,,,450,560,1120,-320,2480,-940,-1160,-60,4130,100,-280,-2560,,,1650,880
match_3,1,310,1650,920,1560,-2570,900,3020,2230,1550,,,-540,1680,,,440,580,1110,-320,2490,-950,-1210,-60,4110,110,-290,-2550,,,1640,890
match_3,1,320,1640,930,1560,-2560,900,3030,2230,1590,,,-560,1690,,,440,610,1110,-310,2510,-960,-1270,-50,4090,130,-290,-2540,,,1630,890
match_3,1,330,1630,930,1560,-2550,900,3040,2220,1620,,,-580,1690,,,430,630,1100,-310,2520,-980,-1320,-40,4070,140,-300,-2530,,,1620,890
match_3,1,340,1630,940,1550,-2550,900,3050,2220,1640,,,-600,1690,,,420,650,1090,-310,2530,-990,-1360,-30,4060,150,-300,-2520,,,1620,900
