MatchId,IdPeriod,Time,home_120_x,home_120_y,home_153_x,home_153_y,home_273_x,home_273_y,home_36_x,home_36_y,home_452_x,home_452_y,home_597_x,home_597_y,home_616_x,home_616_y,home_688_x,home_688_y,home_797_x,home_797_y,home_827_x,home_827_y,home_8_x,home_8_y,home_933_x,home_933_y,home_962_x,home_962_y,home_966_x,home_966_y
match_4,1,0,,,-10,1760,-50,-1030,-2010,-650,-1330,140,-4690,-100,,,,,-1580,1460,-340,-1980,-610,-770,-950,-220,-1940,-1680,-2190,520
match_4,1,10,,,-10,1790,-30,-1030,-2010,-650,-1320,130,-4690,-90,,,,,-1590,1470,-330,-2000,-610,-780,-950,-220,-1940,-1680,-2170,540
match_4,1,20,,,-10,1820,-20,-1030,-2010,-650,-1310,130,-4690,-90,,,,,-1600,1490,-330,-2010,-610,-780,-940,-220,-1940,-1680,-2140,560
match_4,1,30,,,0,1800,0,-1030,-2000,-660,-1300,120,-4690,-90,,,,,-1600,1510,-320,-2010,-600,-780,-930,-220,-1940,-1680,-2120,580
match_4,1,40,,,0,1800,20,-1020,-2000,-660,-1300,120,-4680,-90,,,,,-1600,1540,-320,-2020,-600,-780,-930,-220,-1930,-1690,-2090,600
match_4,1,50,,,0,1800,40,-1020,-2000,-660,-1290,110,-4680,-90,,,,,-1590,1570,-310,-2020,-590,-770,-920,-230,-1930,-1690,-2070,620
match_4,1,60,,,0,1800,60,-1010,-2000,-660,-1290,110,-4680,-90,,,,,-1580,1610,-310,-2010,-580,-770,-920,-230,-1930,-1690,-2050,630
match_4,1,70,,,0,1800,80,-1010,-1990,-660,-1290,110,-4670,-90,,,,,-1570,1640,-300,-2010,-570,-770,-910,-230,-1920,-1700,-2040,640
match_4,1,80,,,-10,1780,100,-1010,-1990,-660,-1280,120,-4660,-100,,,,,-1570,1660,-300,-2000,-560,-760,-910,-230,-1920,-1700,-2020,640
match_4,1,90,,,-10,1770,160,-1020,-1990,-660,-1280,120,-4660,-100,,,,,-1570,1680,-300,-2000,-530,-760,-900,-230,-1920,-1710,-2010,650
match_4,1,100,,,-10,1770,190,-1020,-1980,-650,-1270,130,-4650,-100,,,,,-1570,1700,-290,-1990,-500,-750,-890,-240,-1920,-1720,-2010,640
match_4,1,110,,,-10,1770,230,-1020,-1980,-640,-1260,140,-4640,-110,,,,,-1570,1700,-290,-1980,-470,-740,-880,-240,-1920,-1730,-2000,640
match_4,1,120,,,0,1760,260,-1020,-1980,-630,-1250,150,-4630,-120,,,,,-1580,1710,-280,-1970,-440,-730,-870,-250,-1910,-1730,-2000,630
match_4,1,130,,,0,1760,290,-1020,-1970,-630,-1230,150,-4620,-120,,,,,-1590,1710,-260,-2000,-400,-720,-850,-270,-1910,-1740,-1990,630
match_4,1,140,,,10,1750,330,-1030,-1960,-630,-1220,160,-4610,-130,,,,,-1590,1710,-250,-2010,-360,-710,-830,-280,-1910,-1750,-1990,620
